input_text,target_text
"Base caption: The man is trying to shoot somebody
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is trying to shoot somebody
"Base caption: Woman looks upset with tears in eyes and man looks distracted and looking far away
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Woman looks upset with tears in eyes and man looks distracted and looking far away
"Base caption: The worried woman is healing the injured man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The worried woman is healing the injured man
"Base caption: Serious man is teaching another man to play drums
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Serious man is teaching another man to play drums
"Base caption: The woman is hugging the other woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is hugging the other woman
"Base caption: Two surprised women are walking in the school
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two surprised women are walking in the school
"Base caption: The man is choking the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is choking the other man
"Base caption: Woman looks very annoyed and the man is tired of trying to calm her
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Woman looks very annoyed and the man is tired of trying to calm her
"Base caption: Woman looks smiling and alluringly
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks smiling and alluringly
"Base caption: Two guys are anxious about something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two guys are anxious about something
"Base caption: Two angry men are conflicting
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two angry men are conflicting
"Base caption: Men are having fun and joyful to meet each other on the quay
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Men are having fun and joyful to meet each other on the quay
"Base caption: The woman is astonished about what she saw
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is astonished about what she saw
"Base caption: Man is worried about something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man is worried about something
"Base caption: The man is laughing at something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is laughing at something
"Base caption: The couple is happy to hug each other
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The couple is happy to hug each other
"Base caption: Worried man is trying to help the ill man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Worried man is trying to help the ill man
"Base caption: The woman looks happy
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman looks happy
"Base caption: The happy girl is performing on stage with a nice kid
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy girl is performing on stage with a nice kid
"Base caption: A man is uncertain as he is transferring something to woman
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A man is uncertain as he is transferring something to woman
"Base caption: Man looks suspicious of something and a little strange
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man looks suspicious of something and a little strange
"Base caption: The actor crew are taking a photo for a new movie
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The actor crew are taking a photo for a new movie
"Base caption: Three men are discussing something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Three men are discussing something
"Base caption: Man looks desperate, but after all he is upset and indifferent
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Man looks desperate, but after all he is upset and indifferent"
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: Couple is flirty and going to kiss
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Couple is flirty and going to kiss
"Base caption: The woman is offended at the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is offended at the man
"Base caption: The man is very wondered
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The man is very wondered
"Base caption: Men look very suspicious like they are plotting some revolt or terrorist attack
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Men look very suspicious like they are plotting some revolt or terrorist attack
"Base caption: Couple looks joyful and stands out
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Couple looks joyful and stands out
"Base caption: Woman looks serious and harsh, she looks military
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Woman looks serious and harsh, she looks military"
"Base caption: Couple looks flirty and kissing on the car hood
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Couple looks flirty and kissing on the car hood
"Base caption: Woman is in despair but decisive, she is aggressive and going to shoot anybody who comes close
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","Woman is in despair but decisive, she is aggressive and going to shoot anybody who comes close"
"Base caption: Woman looks troubled but confident in the center of attention
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks troubled but confident in the center of attention
"Base caption: The man is trying to shoot the woman
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is trying to shoot the woman
"Base caption: The man kidding at somebody
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man kidding at somebody
"Base caption: Two confused men are hang up the laundry
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two confused men are hang up the laundry
"Base caption: Men look angry and annoyed because a girl told them about something terrible she did
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Men look angry and annoyed because a girl told them about something terrible she did
"Base caption: Boys look perplexed and thoughtful because they are not satisfied with their level of life
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Boys look perplexed and thoughtful because they are not satisfied with their level of life
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: The woman is arguing with the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is arguing with the man
"Base caption: The man is hugging the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is hugging the woman
"Base caption: Woman looks perplexed and uncertain what to do
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Woman looks perplexed and uncertain what to do
"Base caption: A couple is kissing passionately and a man closed eyes from pleasure
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A couple is kissing passionately and a man closed eyes from pleasure
"Base caption: The man is kissing the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is kissing the woman
"Base caption: Man looks happy and simple
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Man looks happy and simple
"Base caption: Two women look happy because they are friends for a long term
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two women look happy because they are friends for a long term
"Base caption: Worried man is telling a story to his friends
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Worried man is telling a story to his friends
"Base caption: The man is trying to shoot the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is trying to shoot the other man
"Base caption: Men look cool and handsome because they wear sunglasses
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Men look cool and handsome because they wear sunglasses
"Base caption: Man looks angry and dissappointed and encourage others to agree with him
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Man looks angry and dissappointed and encourage others to agree with him
"Base caption: Happy man has shocked the guy with a great news
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Happy man has shocked the guy with a great news
"Base caption: The man and the woman are scared of something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man and the woman are scared of something
"Base caption: The man is annoyed by the kissing couple
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is annoyed by the kissing couple
"Base caption: Two guys are hugging
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two guys are hugging
"Base caption: The man is worried about something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is worried about something
"Base caption: The man is angry at the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is angry at the other man
"Base caption: The man is trying to kill the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is trying to kill the other man
"Base caption: Group of people are investigating something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Group of people are investigating something
"Base caption: The women is happy because of her baby
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The women is happy because of her baby
"Base caption: couple is kissing on the floor
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",couple is kissing on the floor
"Base caption: The doctor is worried about the patient
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The doctor is worried about the patient
"Base caption: A father with a sona are happy to be a good family
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A father with a sona are happy to be a good family
"Base caption: Group of people having fun playing game
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Group of people having fun playing game
"Base caption: A woman looks tricky and alluring and a man looks skeptical and tired, but tries to make joke of it
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
","A woman looks tricky and alluring and a man looks skeptical and tired, but tries to make joke of it"
"Base caption: A couple looks annoyed and disturbed because they have been interfered from making love
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",A couple looks annoyed and disturbed because they have been interfered from making love
"Base caption: Happy family takes the photo together
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Happy family takes the photo together
"Base caption: Man looks afraid and suspicious because he is bound to the bed, and a woman tries to help him
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Man looks afraid and suspicious because he is bound to the bed, and a woman tries to help him"
"Base caption: The man is supports the other man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is supports the other man
"Base caption: Tho guys are happy to pose for photo
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Tho guys are happy to pose for photo
"Base caption: The man is scared by somebody
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is scared by somebody
"Base caption: People look cool and friendly because they know each other for a very long time and enjoy the atmosphere
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",People look cool and friendly because they know each other for a very long time and enjoy the atmosphere
"Base caption: Men look disturbed and alert of some occasion
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Men look disturbed and alert of some occasion
"Base caption: Serious man talking to the people
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Serious man talking to the people
"Base caption: The woman is angry at the man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The woman is angry at the man
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: A family looks happy because they spent weekend together and visited many places and the daughter holds her teddy bear
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A family looks happy because they spent weekend together and visited many places and the daughter holds her teddy bear
"Base caption: Men look funny and smiling skeptical
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Men look funny and smiling skeptical
"Base caption: The boy is upset to leave his happy girlfriend
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The boy is upset to leave his happy girlfriend
"Base caption: Men look cool and selfish
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Men look cool and selfish
"Base caption: A woman tries to persuade a girl and looks very serious, and man at the back looks indifferent
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","A woman tries to persuade a girl and looks very serious, and man at the back looks indifferent"
"Base caption: Two men look aggressive and one is despaired because another tries to strangle him
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Two men look aggressive and one is despaired because another tries to strangle him
"Base caption: Two women are happy to talk with a nice man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Two women are happy to talk with a nice man
"Base caption: Man look angry and furious and trying to beat the offender
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man look angry and furious and trying to beat the offender
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: Men look upset and indifferent because their image of the world has just been broken
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Men look upset and indifferent because their image of the world has just been broken
"Base caption: The man is annoyed by the phone call
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is annoyed by the phone call
"Base caption: Woman looks mysterious, alluring and manipulative, she smiles gently
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Woman looks mysterious, alluring and manipulative, she smiles gently"
"Base caption: The man is kissing the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is kissing the woman
"Base caption: Happy couple is walking to the beach
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Happy couple is walking to the beach
"Base caption: Woman looks tired but trying to smile
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks tired but trying to smile
"Base caption: Surprised man is talking to the other serious man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Surprised man is talking to the other serious man
"Base caption: The happy man is taking a photo
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The happy man is taking a photo
"Base caption: People look like a ghost hunters squad and excited and discuss the next location for a ghost search
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",People look like a ghost hunters squad and excited and discuss the next location for a ghost search
"Base caption: Couple is anxious and surprised with something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",Couple is anxious and surprised with something
"Base caption: A woman looks despaired and frightened because she cannot swim
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A woman looks despaired and frightened because she cannot swim
"Base caption: Weird woman is happy to pose for photo
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Weird woman is happy to pose for photo
"Base caption: Woman looks calm and smiling with happiness
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks calm and smiling with happiness
"Base caption: Group of people is playing music
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Group of people is playing music
"Base caption: The angry and serious men are about to fight each other
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The angry and serious men are about to fight each other
"Base caption: The man is flirting with the man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the man
"Base caption: The dreaming couple is relaxing
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The dreaming couple is relaxing
"Base caption: The man is telling something funny to the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is telling something funny to the woman
"Base caption: The company of people is surprised by something
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The company of people is surprised by something
"Base caption: A woman looks bored and wants to end this boring press conference
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A woman looks bored and wants to end this boring press conference
"Base caption: Sad couple is disappointed about something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Sad couple is disappointed about something
"Base caption: The king is happy to have a nice wife and daughter
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The king is happy to have a nice wife and daughter
"Base caption: A man looks with distrust and despair because he thought he is kind of superhero but occasionally have realized he is a strange guy with a toy gun
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A man looks with distrust and despair because he thought he is kind of superhero but occasionally have realized he is a strange guy with a toy gun
"Base caption: Happy old couple is hugging
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Happy old couple is hugging
"Base caption: Man looks keen and furious
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Man looks keen and furious
"Base caption: People are smiling and confident as they present the opening of music show
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",People are smiling and confident as they present the opening of music show
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: The serious man is interrogating the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The serious man is interrogating the other man
"Base caption: An anxious man doesn't want to let a woman inside his house
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",An anxious man doesn't want to let a woman inside his house
"Base caption: A guy is disgusted by hairy back of other player
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",A guy is disgusted by hairy back of other player
"Base caption: The man is calming down the other man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is calming down the other man
"Base caption: The woman is happy with some news
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is happy with some news
"Base caption: Woman looks surprised and carefully listens
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman looks surprised and carefully listens
"Base caption: A couple looks affectionate, but man is distracted
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","A couple looks affectionate, but man is distracted"
"Base caption: The woman is supporting the man
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The woman is supporting the man
"Base caption: The amazed and scared kids are looking on ceiling
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The amazed and scared kids are looking on ceiling
"Base caption: The man is worried about something
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is worried about something
"Base caption: An old man looks troubled and ill, people are trying to help him
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
","An old man looks troubled and ill, people are trying to help him"
"Base caption: A man and a woman l are happy and having fun jumping on something resembling trampoline
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A man and a woman l are happy and having fun jumping on something resembling trampoline
"Base caption: Woman is surprisingly happy and smiling
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",Woman is surprisingly happy and smiling
"Base caption: A couple looks scared because it was interrupted from love pleasures and is trying to figure out what it was
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",A couple looks scared because it was interrupted from love pleasures and is trying to figure out what it was
"Base caption: The man is flirting with the woman
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
",The man is flirting with the woman
"Base caption: Men look crazy and very happy, they are drinking, laughing and doing stupid things
Emotion: Positive
Rewrite the above caption to fit the specified emotion:
","Men look crazy and very happy, they are drinking, laughing and doing stupid things"
"Base caption: Woman looks upset and whiny
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",Woman looks upset and whiny
"Base caption: The man is trying to harm the other man
Emotion: Negative
Rewrite the above caption to fit the specified emotion:
",The man is trying to harm the other man
"Base caption: The man is investigating something
Emotion: Neutral
Rewrite the above caption to fit the specified emotion:
",The man is investigating something
